"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IDMPProductModel.ingredient.strength","IDMPProductModel.ingredient.strength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength",1,1,"",""
"IDMPProductModel.ingredient.strength","IDMPProductModel.ingredient.strength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue","IDMPProductModel.ingredient.strength.strengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.numerator","IDMPProductModel.ingredient.strength.strengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""5 mg""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.denominator","IDMPProductModel.ingredient.strength.strengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.denominator",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue","IDMPProductModel.ingredient.strength.strengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.numerator","IDMPProductModel.ingredient.strength.strengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.denominator","IDMPProductModel.ingredient.strength.strengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.denominator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength","IDMPProductModel.ingredient.referenceStrength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""5 mg""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator",1,1,"",""
"IDMPProductModel.packaging","IDMPProductModel.packaging","","","",0,*,"","","","BackboneElement {[]} {[]}
","Packaging","Packaging","","","","","","","","","",,,,,"",,,,"IDMPProductModel.packaging",0,*,"",""
"IDMPProductModel.packaging.packageSize","IDMPProductModel.packaging.packageSize","","","",0,1,"","","","Quantity {[]} {[]}
","Package Size","Package Size","","","","","","","","","",,,,,"",,,,"IDMPProductModel.packaging.packageSize",0,1,"",""
