"IDMPProductModel.identifier.id","IDMPProductModel.identifier.id","","","",0,*,"","","","Identifier {[]} {[]}
","Any other identifier","Any other identifier","","","","","","","","","",,,,,"",,,,"IDMPProductModel.identifier.id",0,*,"",""
"IDMPProductModel.marketingAuthorizationHolder","IDMPProductModel.marketingAuthorizationHolder","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Authorized Dose Form","Authorized Dose Form","","","","","","","","","",,,,,"",,,,"IDMPProductModel.marketingAuthorizationHolder",0,1,"",""
"IDMPProductModel.doseForm","IDMPProductModel.doseForm","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Authorized Dose Form","Authorized Dose Form","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""10210000 capsule, hard""/>","","",,,,,"",,,,"IDMPProductModel.doseForm",1,1,"",""
"IDMPProductModel.unitOfPresentation","IDMPProductModel.unitOfPresentation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Unit of presentation","Unit of presentation","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""15012000 capsule""/>","","",,,,,"",,,,"IDMPProductModel.unitOfPresentation",1,1,"",""
"IDMPProductModel.routeOfAdministration","IDMPProductModel.routeOfAdministration","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Route of administration","Route of administration","","","","","","","","","",,,,,"",,,,"IDMPProductModel.routeOfAdministration",1,1,"",""
"IDMPProductModel.ingredient","IDMPProductModel.ingredient","","","",1,*,"","","","BackboneElement {[]} {[]}
","Ingredient(s) that are part of the product, with therapeutical usage or not","Ingredient(s) that are part of the product, with therapeutical usage or not","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient",1,*,"",""
"IDMPProductModel.ingredient.substance","IDMPProductModel.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Codification of the substance","Codification of the substance","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Amlodipine Besilate""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.substance",1,1,"",""
"IDMPProductModel.ingredient.strength","IDMPProductModel.ingredient.strength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue","IDMPProductModel.ingredient.strength.strengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.numerator","IDMPProductModel.ingredient.strength.strengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""5 mg""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.strength.strengthValue.denominator","IDMPProductModel.ingredient.strength.strengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.strength.strengthValue.denominator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength","IDMPProductModel.ingredient.referenceStrength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthSubstance","IDMPProductModel.ingredient.referenceStrength.referenceStrengthSubstance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The substance used to determine the strength","The substance used to determine the strength","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthSubstance",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","Strength of the substance in this product","Strength of the substance in this product","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength numerator","Strength numerator","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""5 mg""/>","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.numerator",1,1,"",""
"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator","","","",1,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Strength denominator","Strength denominator","","","","","","","","","",,,,,"",,,,"IDMPProductModel.ingredient.referenceStrength.referenceStrengthValue.denominator",1,1,"",""
"IDMPProductModel.packaging","IDMPProductModel.packaging","","","",0,*,"","","","BackboneElement {[]} {[]}
","Packaging","Packaging","","","","","","","","","",,,,,"",,,,"IDMPProductModel.packaging",0,*,"",""
"IDMPProductModel.packaging.packageSize","IDMPProductModel.packaging.packageSize","","","",0,1,"","","","Quantity {[]} {[]}
","Package Size","Package Size","","","","","","","","","",,,,,"",,,,"IDMPProductModel.packaging.packageSize",0,1,"",""
